Município;Mun_Total de casos;Mun_Total de óbitos;Letalidade Mun;Cód IBGE;Latitude;Longitude;;
Dracena;1;1;100,0%;3514403;-21,4843;-51,535;;
Eldorado;1;1;100,0%;3514809;-24,5281;-48,1141;;
Embu das Artes;43;2;4,7%;3515004;-23,6437;-46,8579;;
Embu-Guaçu;4;0;0,0%;3515103;-23,8297;-46,8136;;
Estiva Gerbi;1;0;0,0%;3557303;-22,2713;-46,9481;;
Fernandópolis;4;0;0,0%;3515509;-20,2806;-50,2471;;
Ferraz de Vasconcelos;41;1;2,4%;3515707;-23,5411;-46,371;;
Franca;4;1;25,0%;3516200;-20,5352;-47,4039;;
Francisco Morato;20;1;5,0%;3516309;-23,2792;-46,7448;;
Franco da Rocha;41;2;4,9%;3516408;-23,3229;-46,729;;
Garça;2;0;0,0%;3516705;-22,2125;-49,6546;;
Guararapes;3;0;0,0%;3518206;-21,2544;-50,6453;;
Guararema;2;0;0,0%;3518305;-23,4112;-46,0369;;
Guaratinguetá;1;0;0,0%;3518404;-22,8075;-45,1938;;
Guarujá;17;0;0,0%;3518701;-23,9888;-46,258;;
Guarulhos;253;22;8,7%;3518800;-23,4538;-46,5333;;
Hortolândia;2;0;0,0%;3519071;-22,8529;-47,2143;;
Ibirá;1;0;0,0%;3519402;-21,083;-49,2448;;
Ibiúna;1;0;0,0%;3519709;-23,6596;-47,223;;
Igarapava;1;0;0,0%;3520103;-20,0407;-47,7466;;
Igaratá;1;0;0,0%;3520202;-23,2037;-46,157;;
Ilha Comprida;9;0;0,0%;3520426;-24,7307;-47,5383;;
Ilhabela;3;0;0,0%;3520400;-23,7785;-45,3552;;
Indaiatuba;4;0;0,0%;3520509;-23,0816;-47,2101;;
Iracemápolis;1;0;0,0%;3521408;-22,5832;-47,523;;
Itanhaém;3;0;0,0%;3522109;-24,1736;-46,788;;
Itapecerica da Serra;33;1;3,0%;3522208;-23,7161;-46,8572;;
Itapetininga;5;1;20,0%;3522307;-23,5886;-48,0483;;
Itapeva;1;0;0,0%;3522406;-23,9788;-48,8764;;
Itapevi;27;5;18,5%;3522505;-23,5488;-46,9327;;
Itapira;7;0;0,0%;3522604;-22,4357;-46,8224;;
Itaquaquecetuba;37;0;0,0%;3523107;-23,4835;-46,3457;;
Itararé;1;0;0,0%;3523206;-24,1085;-49,3352;;
Itatiba;1;1;100,0%;3523404;-23,0035;-46,8464;;
Itatinga;1;0;0,0%;3523503;-23,1047;-48,6157;;
Itu;3;0;0,0%;3523909;-23,2544;-47,2927;;
Itupeva;1;0;0,0%;3524006;-23,1526;-47,0593;;
Jaboticabal;7;2;28,6%;3524303;-21,252;-48,3252;;
Jacareí;6;0;0,0%;3524402;-23,2983;-45,9658;;
Jaci;2;0;0,0%;3524501;-20,8805;-49,5797;;
Jaguariúna;1;0;0,0%;3524709;-22,7037;-46,9851;;
Jales;2;0;0,0%;3524808;-20,2672;-50,5494;;
Jandira;8;1;12,5%;3525003;-23,5275;-46,9023;;
Jardinópolis;3;0;0,0%;3525102;-21,0176;-47,7606;;
Jaú;3;0;0,0%;3525300;-22,2936;-48,5592;;
Joanópolis;1;0;0,0%;3525508;-22,927;-46,2741;;
José Bonifácio;2;0;0,0%;3525706;-21,0551;-49,6892;;
Jundiaí;19;3;15,8%;3525904;-23,1852;-46,8974;;
Laranjal Paulista;4;2;50,0%;3526407;-23,0506;-47,8375;;
Leme;3;2;66,7%;3526704;-22,1809;-47,3841;;
Lençóis Paulista;3;0;0,0%;3526803;-22,6027;-48,8037;;
Limeira;7;1;14,3%;3526902;-22,566;-47,397;;
Lins;1;1;100,0%;3527108;-21,6718;-49,7526;;
Lorena;1;0;0,0%;3527207;-22,7334;-45,1197;;
Louveira;1;0;0,0%;3527306;-23,0856;-46,9484;;
Macatuba;1;0;0,0%;3528007;-22,5002;-48,7102;;
Macedônia;1;0;0,0%;3528205;-20,1444;-50,1973;;
Mairinque;1;0;0,0%;3528403;-23,5398;-47,185;;
Mairiporã;9;2;22,2%;3528502;-23,3171;-46,5897;;
Marília;7;1;14,3%;3529005;-22,2171;-49,9501;;
Matão;3;0;0,0%;3529302;-21,6025;-48,364;;
Mauá;66;2;3,0%;3529401;-23,6677;-46,4613;;
Mirassol;7;0;0,0%;3530300;-20,8169;-49,5206;;
Mococa;2;1;50,0%;3530508;-21,4647;-47,0024;;
Mogi das Cruzes;80;5;6,3%;3530607;-23,5208;-46,1854;;
Mogi Guaçu;6;1;16,7%;3530706;-22,3675;-46,9428;;
Mogi Mirim;1;0;0,0%;3530805;-22,4332;-46,9532;;
Mongaguá;2;1;50,0%;3531100;-24,0809;-46,6265;;
Monte Alto;5;1;20,0%;3531308;-21,2655;-48,4971;;
Monte Mor;1;0;0,0%;3531803;-22,945;-47,3122;;
Morro Agudo;2;0;0,0%;3531902;-20,7288;-48,0581;;
Morungaba;1;0;0,0%;3532009;-22,8811;-46,7896;;
Nhandeara;1;0;0,0%;3532603;-20,6945;-50,0436;;
Nova Odessa;1;1;100,0%;3533403;-22,7832;-47,2941;;
Olímpia;4;0;0,0%;3533908;-20,7366;-48,9106;;
Orlândia;4;0;0,0%;3534302;-20,7169;-47,8852;;
Osasco;172;16;9,3%;3534401;-23,5324;-46,7916;;
Ourinhos;1;0;0,0%;3534708;-22,9797;-49,8697;;
Pariquera-Açu;2;0;0,0%;3536208;-24,7147;-47,8742;;
Paulínia;5;0;0,0%;3536505;-22,7542;-47,1488;;
Pederneiras;1;0;0,0%;3536703;-22,3511;-48,7781;;
Pedra Bela;1;0;0,0%;3536802;-22,7902;-46,4455;;
Penápolis;1;1;100,0%;3537305;-21,4148;-50,0769;;
Peruíbe;4;0;0,0%;3537602;-24,312;-47,0012;;
Pilar do Sul;3;0;0,0%;3537909;-23,8077;-47,7222;;
Pindamonhangaba;2;1;50,0%;3538006;-22,9246;-45,4613;;
Pindorama;1;0;0,0%;3538105;-21,1853;-48,9086;;
Piracicaba;17;1;5,9%;3538709;-22,7338;-47,6476;;
Pirajuí;1;0;0,0%;3538907;-21,999;-49,4608;;
Piratininga;1;0;0,0%;3539400;-22,4142;-49,1339;;
Poá;11;2;18,2%;3539806;-23,5333;-46,3473;;
Pontal;4;0;0,0%;3540200;-21,0216;-48,0423;;
Porto Feliz;1;0;0,0%;3540606;-23,2093;-47,5251;;
Porto Ferreira;2;1;50,0%;3540705;-21,8498;-47,487;;
Praia Grande;27;6;22,2%;3541000;-24,0084;-46,4121;;
Pratânia;2;0;0,0%;3541059;-22,8112;-48,6636;;
Presidente Prudente;4;2;50,0%;3541406;-22,1207;-51,3925;;
Presidente Venceslau;5;2;40,0%;3541505;-21,8732;-51,8447;;
Promissão;2;0;0,0%;3541604;-21,5356;-49,8599;;
Ribeirão Pires;23;0;0,0%;3543303;-23,7067;-46,4058;;
Ribeirão Preto;65;5;7,7%;3543402;-21,1699;-47,8099;;
Rincão;1;0;0,0%;3543709;-21,5894;-48,0728;;
Rinópolis;1;0;0,0%;3543808;-21,7284;-50,7239;;
Rio Claro;8;2;25,0%;3543907;-22,3984;-47,5546;;
Rio Grande da Serra;7;0;0,0%;3544103;-23,7437;-46,3971;;
Salto;3;0;0,0%;3545209;-23,1996;-47,2931;;
Salto de Pirapora;2;0;0,0%;3545308;-23,6474;-47,5743;;
Santa Bárbara d'Oeste;1;0;0,0%;3545803;-22,7553;-47,4143;;
Santa Branca;2;1;50,0%;3546009;-23,3933;-45,8875;;
Santa Cruz do Rio Pardo;5;0;0,0%;3546405;-22,8988;-49,6354;;
Santa Isabel;1;1;100,0%;3546801;-23,3172;-46,2237;;
Santa Lúcia;1;0;0,0%;3546900;-21,685;-48,0885;;
Santana de Parnaíba;41;0;0,0%;3547304;-23,4439;-46,9178;;
Santo André;186;6;3,2%;3547809;-23,6737;-46,5432;;
Santos;216;12;5,6%;3548500;-23,9535;-46,335;;
São Bernardo do Campo;231;15;6,5%;3548708;-23,6914;-46,5646;;
São Caetano do Sul;85;3;3,5%;3548807;-23,6229;-46,5548;;
São Carlos;6;2;33,3%;3548906;-22,0174;-47,886;;
São João da Boa Vista;4;0;0,0%;3549102;-21,9707;-46,7944;;
São José do Rio Pardo;1;0;0,0%;3549706;-21,5953;-46,8873;;
São José do Rio Preto;61;3;4,9%;3549805;-20,8113;-49,3758;;
São José dos Campos;113;3;2,7%;3549904;-23,1896;-45,8841;;
São Manuel;3;1;33,3%;3550100;-22,7321;-48,5723;;
São Miguel Arcanjo;2;0;0,0%;3550209;-23,8782;-47,9935;;
São Paulo;7764;558;7,2%;3550308;-23,5329;-46,6395;;
São Pedro;1;0;0,0%;3550407;-22,5483;-47,9096;;
São Roque;5;0;0,0%;3550605;-23,5226;-47,1357;;
São Sebastião;4;1;25,0%;3550704;-23,7951;-45,4143;;
São Vicente;27;0;0,0%;3551009;-23,9574;-46,3883;;
Sertãozinho;6;0;0,0%;3551702;-21,1316;-47,9875;;
Sorocaba;29;3;10,3%;3552205;-23,4969;-47,4451;;
Sumaré;3;0;0,0%;3552403;-22,8204;-47,2728;;
Suzano;44;6;13,6%;3552502;-23,5448;-46,3112;;
Taboão da Serra;92;5;5,4%;3552809;-23,6019;-46,7526;;
Tanabi;1;0;0,0%;3553401;-20,6228;-49,6563;;
Tatuí;6;0;0,0%;3554003;-23,3487;-47,8461;;
Taubaté;8;0;0,0%;3554102;-23,0104;-45,5593;;
Terra Roxa;1;0;0,0%;3554409;-20,787;-48,3314;;
Tupã;1;0;0,0%;3555000;-21,9335;-50,5191;;
Ubatuba;2;0;0,0%;3555406;-23,4332;-45,0834;;
Valinhos;7;1;14,3%;3556206;-22,9698;-46,9974;;
Vargem Grande Paulista;5;3;60,0%;3556453;-23,5993;-47,022;;
Várzea Paulista;1;0;0,0%;3556503;-23,2136;-46,8234;;
Vinhedo;8;0;0,0%;3556701;-23,0302;-46,9833;;
Votorantim;3;0;0,0%;3557006;-23,5446;-47,4388;;
Votuporanga;6;0;0,0%;3557105;-20,4237;-49,9781;;
Outros estados;44;0;0,0%;;;;;
Outros países;39;0;0,0%;;;;;
Ignorado;9;0;0,0%;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
